Nom.Kods,Nom.Nosaukums,Beigu daudzums,"Beigu vid. cena, EUR",Nom.PCAPVNE.Cena
1599021,Durvju atspere 25 mm,"31,000","1,7761","2,99"
159909,Konservu attaisāmais ar koka rokturi,"33,000","0,8185","2,28"
1599172,Slota pagalmam 50 cm,"1,000","4,11","6,06"
159933,Sietiņš gaļas mašīnai,"27,000","0,62","0,98"
1599494,Metālvāciņu aizvākotājs M3P-1 sarkans,"3,000","5,5967","8,25"
1600012,Bruģis Prizma 200*100*60,"767,080","5,4858","9,13"
1600019,Aizsargbrilles dzelt.,"5,000","0,678","1,07"
1600036,Bruģis Prizma 200*100*60,"130,400","4,2269","5,62"
1600067,Bruģis Prizma 200*100*60 dzeltens,"53,320","5,8177","8,95"
1600128,Bruģis Nostal 18*12*6 pelēks,"220,020","5,7022","9,15"
1600156,Aizsargmaska ar vārstu,"3,000","1,1367","1,94"
1600159,Bruģis Nostal 18*12*6 brūns,"11,410","6,3883","10,05"
1600166,Bruģis Nostal 180*120*60,"20,780","6,3884","11,17"
1600272,Ceļu apmale pelēka 1000*150*300,"272,000","4,1189","6,72"
1600289,Ietvju apmale pelēka 1000*200*80,"3063,000","1,6433","2,70"
1600310,Steinel sensors IS 1 balts 500 W 10 m,"25,000","11,022","19,37"
1600419,Steinel sensors IS 1 melns 500W 8 m,"29,000","10,9845","19,37"
1600531,Flora dārza bloks pelēks d51,"79,000","6,3834","10,54"
1600548,Flora dārza bloks sarkans d51,"40,000","7,4068","12,17"
1600982,Bruģis Nostal skalots sarkans 180*120*60,"23,750","9,6501","14,94"
16010000,"VM ventīlis 1/2""*3/4""","25,000","3,1772","5,25"
1601612,Cinkots čuguna līkums 1/2 FF,"48,000","0,2488","0,41"
1601668,Bruģis Prizma 200*100*50 pelēks,"1352,150","4,3598","8,28"
1601675,Bruģis Prizma 200*100*50 sarkans,"198,900","5,0741","8,89"
1601827,Cinkots čuguna līkums 1 FF,"16,000","0,55","0,81"
16020015,Šņore karstumizturīga 6mm melna,"5,500","3,0491","4,50"
1602054,Kājslauķis Roller 60*100,"2,000","6,68","11,00"
1602090,Pagarin.mis. 1/2*30 mm,"9,000","0,8156","1,21"
1603030,"Korķis mis. ār.v. DN 1/2""","32,000","0,2647","0,40"
1603040,"Korķis mis. ār.v. DN 3/4""","6,000","0,4233","0,63"
1604330,"Līkums mis. ar saskr. DN 1/2""","21,000","1,6219","2,45"
1605200,Kokvilnas/poliestera 8 str. aukla pīta 5mm 20m,"10,000","1,66","2,62"
1605839,Riņķī dušas aizk. līdz 02812 gab caurspīdīgi,"3,000","0,52","0,80"
1605924,OS 11W/827 220-240V E27,"68,000","2,3262","3,78"
1606030,"Nipelis mis. DN 1/2""","487,000","0,3454","0,57"
1606044,Spuldze OS 23W/827 E27 Twist,"47,000","2,6289","4,27"
1607030,"Nipelis mis. DN 1/2""*3/4","67,000","0,5906","1,02"
1607108,Hoga Tropic dušas klausule 100 spr. hr.,"5,000","9,234","13,97"
1607900,Hoga Ayhos 2 dušas klausule hroms 3-rež.,"13,000","7,86","10,70"
1608000,Rullīšu svira,"0,000","0,00","8,57"
1608829,Salvetes 24 cm,"2,000","0,84","1,28"
1609030,"Saskrūve mis. DN 1/2""","47,000","1,2521","1,91"
1609035,"Mis.saskrūve DN 1/2""","3,000","1,5167","2,29"
1609050,"Saskrūve mis. DN 1""","19,000","3,5863","6,16"
1609060,"Saskrūve mis DN 1 1/4""","2,000","7,82","13,33"
1609161,Salvetes 33 cm,"1,000","1,10","1,66"
1609406,Salvetes 33 cm,"2,000","1,095","1,66"
161003,Insekticits Cobra 400 ml,"13,000","1,5992","2,45"
161020,Želeja pēc insektu koduma 35 ml,"8,000","0,7988","1,22"
1610240,Kājslauķis Tekno 45*75,"9,000","5,97","8,95"
1611319,TU 25W E14 CL,"59,000","0,5053","0,71"
1611666,Cinkots čuguna mufe 3/4,"3,000","0,3667","0,54"
1611697,Cinkota čuguna mufe 1,"9,000","0,4822","0,71"
1612298,Cinkots čuguna nipelis 1/2,"33,000","0,2603","0,38"
1613027,Maisiņi produktu saldēš. 2L48*150g,"2,000","0,64","0,94"
1614186,Cinkots čuguna kontruzgrieznis 3/4,"9,000","0,2611","0,38"
1615386,MDF līste maināmais leņķis B008 2750*3*47 KP41008,"196,000","1,0873","1,59"
1615409,MDF maināms leņķis B010 2750*3*47 AL-KP4110,"243,000","1,1481","2,01"
1615454,MDF līste maināmais leņķis B015 2750*3*47,"115,000","1,0227","2,26"
1615461,MDF līste maināmais leņķis B016 2750*3*47 KP4116,"131,000","1,0639","1,59"
1615504,Ota radiatoru 50 mm,"6,000","0,37","0,63"
1615508,MDF līste maināmais leņķis B020 2750*3*47 KP4120,"329,000","1,2064","1,98"
1615660,Iep. skrūve riģip. s26f 25 mm 100 gb,"390,000","0,4778","0,73"
1615684,Iep. skrūve riģip. s26f 32 mm 100 gb,"1053,000","0,6058","0,84"
1615714,Iep. skrūve riģip. s26f  45 mm 100 gb,"223,000","0,7527","1,17"
1615752,Iep. skrūve riģip. s26f 51 mm 100 gb,"1179,000","0,7659","1,20"
1618302,Hoga Napoli dušas kompl. ar 3 režīmu klausuli,"189,000","4,9044","7,78"
1618736,Salvetes 33cm,"0,000","0,00","1,94"
1619016,Galdauts DC 138*220 cm,"1,000","4,34","6,83"
1619023,Galdauts DC 138*220 cm,"0,000","0,00","6,83"
162001,Mušpapīrs,"5192,000","0,0857","0,14"
162003,Insektu iznīc.krītiņš Mašeņka 3 gr,"43,000","0,5416","0,87"
162005,Kurmju inde granulās 120 ml,"3,000","2,7833","4,24"
162012,Pulveris pret skudrām Bros 100 gr,"9,000","1,5867","2,40"
1620349,"Fakro Eurotop L2 difūzijas membrāna 1,5*50m","1543,500","0,6302","0,94"
1620387,Difūzijas membrāna Eurotop N15 1.5*50m 75 m2,"122,000","0,7348","1,12"
1620424,Tvaika barjera Thermofol 90 1.5*50 m,"132,100","0,5436","0,84"
1621518,Tapetes SM 09 ReVI 10*1.06m,"25,000","9,1776","14,44"
1633417,"Halogēnlampa HS500 ar 2Pyro, 500W, 20m","2,000","48,79","74,40"
1637280,Iep. skrūve riģip. s26f 40/41 200 gb,"1108,000","1,0714","1,89"
1639322,"Tapetes  1,06*10m","18,000","8,8178","13,45"
164027,Sīksīpoli Sturon 25 kg,"13,000","1,0892","1,65"
1641966,Hoga dušas kompl. ar 5 rež. duš. klausuli+1.5m šļ.,"0,000","0,00","15,47"
1642084,Pīta polipropilēna aukla 5 mm 300 m,"1023,000","0,0737","0,13"
1644017,Steinel Sensoru lampa L 535 S melna kristal,"6,000","16,495","22,60"
1648108,Smilšu pulkstenis saunai,"1,000","7,75","11,82"
1648309,Hoga Napoli dušas kompl. ar stieni 3 rež.,"21,000","8,6524","13,47"
1648408,HOGA Atlanta dušas komplekts ar stieni,"20,000","10,979","18,11"
1650010,"Elvi sīkgraudains 0,3 L pl.bundža","97,000","0,4625","0,73"
1650034,Elvi sīkgraudaina 1L pl.spainis LES1,"201,000","1,2771","2,29"
1650041,Elvi sīkgraudaina 3L pl.spainis,"49,000","3,4231","5,44"
1650058,Elvi sīkgraudaina 5L pl.spainis LES5,"10,000","5,684","8,48"
1650133,"Elvi kokam 0.3L pl.bundža LEK0,3","268,000","0,6157","1,15"
1650157,Elvi kokam 1L LEK 1,"211,000","1,512","2,75"
1650164,"Elvi kokam  0,3 l pl.spainis","12,000","4,7683","8,08"
1650171,Elvi kokam  5 L pl.spainis,"5,000","7,124","11,48"
1650256,Elvi kokam Priede 0.3l pl.bundža LEKPO 0.3,"232,000","0,7932","1,58"
1650270,Elvi kokam Priede 1l pl spainis LEKP1,"146,000","1,8939","3,39"
1650317,"Elvi kokam Osis 0,3 L pl. bundža LEKOs0.3","44,000","0,8027","1,52"
1650331,Elvi kokam1L pl.spainis LEK0s1,"38,000","1,9171","3,39"
1650379,"Elvi fasādes 0,3 L bundža","91,000","0,6746","1,18"
1650393,Elvi fasādes 1L LEF1,"197,000","1,5314","3,02"
1650416,Elvi fasādes 5L pl. spainis LEF5,"12,000","6,9942","12,18"
1650430,Elvi universālā 0.3l pl.bundža LEU0.3,"263,000","0,4404","0,83"
1650454,Elvi universālā 1L LEU 1,"490,000","1,178","2,02"
1650461,Elvi universālā 3L LEU 3,"96,000","3,3723","5,69"
1650492,Elvi koka grīdām 0.3l pl.bundža LEKGO0.3,"92,000","0,6596","1,18"
1650513,"Steinel Āra sensorlampa L1, balta, E27","1,000","21,66","32,75"
1650515,Elvi koka grīdām 1L LEKG1,"143,000","1,8371","3,73"
1650522,Elvi kokam grīdām 3 L spainis,"3,000","6,35","9,60"
1650539,Elvi kokam grīdām 5 L spainis,"0,000","0,00","13,67"
1650546,Elvi koka grīdām 10 L spainis,"0,000","0,00","26,81"
1650577,Elvi reģipsim viegla 1L pl.spainis,"188,000","1,5855","2,53"
1650584,Elvi reģipsim viegla 3L pl.spainis,"15,000","4,44","7,29"
1650638,Elvi gat.sast.flīž. 1 L pl.spainis,"56,000","1,67","2,60"
1650863,Elektr. virtuves svari,"53,000","15,9738","23,76"
1650959,"Līme grīdām Elvi univ. 1l pl.sp 1,30kg LLG1","178,000","2,0376","3,73"
1650966,"Līme grīdām Elvi univ. 3l pl.sp 3,90 kr","67,000","6,0175","10,36"
1650973,Līme grīdām Elvi univ. 5 L pl.sp.,"18,000","9,7139","16,79"
1651051,Elektroniskie virtuves svari Style/ 5 kg,"16,000","13,7625","22,84"
1651068,Elektrs. virtuves svari,"5,000","9,50","15,21"
1651079,Augļu koku un krūmu balsināmais 2kg maiss LAKKB2,"163,000","1,0298","1,59"
1651293,"Krāsa 1 servalac balta 0,33 L","1,000","7,32","10,80"
1651473,Drošinātājs automātiskais 20 A,"35,000","1,9051","3,04"
1651536,Grunts TPB-5 Praimers gat.sastāvs 1L LGTG1,"454,000","0,8448","1,59"
1651543,Grunts TPB-5 Praimers gat.sastāvs 3L kanna LGTG3,"459,000","2,2288","4,05"
1651550,Grunts TPB-5 Praimers gat.sastāvs 5L kanna LGTG5,"527,000","3,4527","6,10"
1651567,Grunts TPB-5 Praimers gat.sastāvs 10L kanna LGTG10,"212,000","6,601","11,25"
1651567,Grunts TPB-5 Praimers gat.sast. 10 L kanna,"71,000","7,2428","11,71"
1653394,"Polimin 1 2,5 L","10,000","4,199","6,72"
1653400,Polimin 1 5 L,"7,000","7,0814","10,94"
1653424,"Polimin 2 2,5 L","8,000","5,8475","9,76"
1653431,Polimin 2 5 L,"3,000","9,1133","16,49"
1653448,Polimin 2 10 L,"1,000","17,50","30,65"
1653615,Baktericīds 1l pl.pudele,"120,000","1,0323","1,91"
1653639,Akrilelsat 4 kg pl.spainis,"5,000","8,336","12,59"
1653699,Drošinātājs automātiskais 10A,"21,000","1,6076","2,93"
1655558,Baktericīds 5 L pl.pudele,"12,000","4,1675","7,07"
1656883,Krīta grunts 5 L pl.kanna,"0,000","0,00","10,03"
1657149,Betongrunts-sarkana 1 L spainis,"40,000","1,8553","2,92"
1657156,Betongrunts 3 litri pl.spainis,"18,000","4,8106","7,99"
1657163,Betongrunts 5 litri pl.spainis,"10,000","7,306","12,17"
1657170,Betongrunts 10 litri pl.spainis,"2,000","13,85","21,78"
16580177,Virtuves sūklis New Maxi 2 gb,"29,000","0,2986","0,47"
1659600,Grunts dziļ. celt. fasādes gat. AO-5 1l LGDCFG1,"510,000","1,3782","2,51"
1659617,Grunts dziļ. celt. fasādes gat. AO-5 3l LGDCFG3,"633,000","3,7785","6,45"
1659624,Grunts dziļ. celt. fasādes gat. AO-5 5l LGDCFG5,"707,000","5,5133","10,07"
1659631,Grunts dziļ. celt. fasādes gat. AO-5 10l LGDCFG10,"316,000","11,2836","19,98"
1659639,Drošinātājs automātiskais 16A,"55,000","1,7571","3,04"
1659648,Grunts dziļ. celt. fasādes gat. AO-5 25l LGDCFG25,"8,000","27,7838","43,51"
1659655,"Elvi kokam  0,3L pl.bundža LEKG0.3","49,000","0,7806","1,47"
1659679,Elvi kokam Bērzs 1l pl spainis LEKB1,"34,000","1,8656","3,39"
1659907,Betongrunts Elvi 1 L,"1211,000","0,3597","3,07"
1659914,Betongrunts Elvi 3 L,"150,000","5,1543","8,44"
1659921,Betongrunts Elvi 5 L,"71,000","7,9176","13,16"
1659938,Betongrunts 10 litri,"30,000","14,963","24,37"
1659976,"Elvi Mahogony špaktele 0,3 L","26,000","0,8081","1,45"
1660040,"Blīve paranīta 3/4""","8,000","0,00","0,07"
1660080,"Blīve paranīta 1""","46,000","0,0583","0,09"
1660090,"Blīve paranīta 1""1/4","40,000","0,0925","0,14"
1660145,Dūmu detektors 3*3V CR032,"11,000","5,8955","9,06"
1662070,Pagarin. hrom.  1/2*40 mm,"3,000","1,3633","2,06"
1666022,Seškanšu atslēgu kompl.,"0,000","0,00","10,88"
1666030,"Nipelis hrom. 1/2 ""","12,000","0,3892","0,64"
1669030,"Saskrūve hrom. |DN 1/2""","25,000","1,608","2,43"
1669040,"Saskrūve hrom. DN 3/4""","2,000","2,25","3,43"
1669050,"Saskrūve hrom. DN 1""","3,000","3,5433","5,41"
1669114,Tapetes SM 08 ReVI 10*1.06m,"6,000","9,1783","13,87"
1669121,Tapetes SM 08 ReVI 10*1.06m,"7,000","9,1771","13,87"
1669957,El.taimeris 16A 3680W  002540,"0,000","0,00","12,85"
1670152,Profiltapete Nr. C-105 25 m,"22,000","15,2741","21,70"
1670190,Profiltapete N. C-109 25m,"11,000","14,4591","21,34"
1670259,Camay Parfum BS Vintage 100 gr,"67,000","0,3073","0,53"
1670495,Camay Dejour 100 gr,"32,000","0,3219","0,53"
1670731,Taimeris 0025949,"2,000","4,06","5,86"
1670762,Taimeris 0025700409,"4,000","2,775","4,23"
1670809,Elektr.virtuves svari,"13,000","19,0285","30,62"
1671012,"Krāsojamā tapete Lanita 1,06*25 cm","38,000","14,3063","20,28"
1671135,"Krāsojamā tapete Lanita 1,06*25 cm C-90","5,000","15,584","23,58"
1672030,"Atzars 1"" 1/4","4,000","8,075","12,31"
1672576,Flizelīna tapete 25*1.06 C-116,"3,000","12,42","18,78"
1672750,"Stiklšķiedras tapetes Nr. 233, gruntēta (50 m2)","0,000","0,00","49,15"
1672880,Tapete 043-0335,"11,000","3,7109","5,48"
1673449,Tapetes Rasch Maximum,"9,000","14,7556","22,48"
1673993,Profiltapete N. DA-14M 25m,"6,000","14,4567","21,33"
1677366,Tapete 053-0339,"10,000","3,848","5,69"
1678085,Ķēde garo posmu 6mm. (30m.) DIN763 PH06,"508,000","0,8486","2,02"
1679000,Stellatslēga 250 mm,"2,000","3,655","6,19"
1680006,Stellatslēga 300 mm,"3,000","4,8667","8,24"
1683977,Meh.taimers,"7,000","1,9371","3,04"
1690089,Vītņurbis  M 8 DIN 352,"2,000","1,39","2,12"
1691406,Nazis siltināšanas materiālu griešanai,"0,000","0,00","5,25"
1692881,"Pīta polipropilēna aukla, Balta, 5mm 300 m","755,000","0,0825","0,14"
1700017,Zemesrieksti sālīti met.bundžā 120 g,"43,000","0,7263","1,18"
17000291,"Izl. ker.izl.ar plastm. vītni 1 1/4""*60 mm","38,000","1,0466","1,95"
1700070,Nažu asinātājs Roll-shamp 64 g,"35,000","7,1409","11,48"
1700156,"Iekšejā, ārējā universālā PVC līste 2.95 m","45,000","1,2738","1,64"
1700170,Savienotājs PVC panelim,"16,000","1,0813","1,65"
1700187,Sākuma nobeiguma PVC līste 2.95 m,"97,000","1,0813","1,64"
1700321,Lāpstiņa atkritumiem 205*190,"1,000","1,34","1,98"
1700392,Metāla durvis 95 YF-S78 P labās puses,"1,000","81,74","123,79"
170046,"Liekšķerformas lāpsta, betonam 235*272 bez kāta","21,000","1,5814","2,33"
1700767,PVC panelis 5 mm 2.7 mm,"140,250","2,5188","4,31"
1701060,Maisītājs virtuves R-6 Eco,"1,000","6,70","10,22"
1701070,Maisītājs virtuves R-6 Globo,"5,000","6,226","9,80"
170112,Dārza dakša ar 4 rag.,"58,000","2,7121","4,21"
1701230,Maisītājs vannas R-9 Trio,"7,000","6,48","9,87"
1701250,Maisītājs virtuves R-6 Trio,"77,000","6,5026","10,22"
1701270,Maisītājs virtuves R-6,"1,000","6,70","10,13"
1702199,Krustgabals @100/100/100/88 gr,"1,000","3,07","4,68"
1703045,Vēdekļveida grābeklis plakans plastmasas,"3,000","2,19","3,23"
1703099,Grābeklis Vertas ar 14 liekti zar. bez kāta 360 mm,"2,000","3,335","4,92"
1703301,Grābeklis ar 14 liektiem zariem 355mm ar kātu Vertas,"25,000","4,0356","6,06"
1703341,Grābeklis ar 12 liekt.zariem 305 mm ar kātu,"10,000","3,495","5,15"
1704078,Stieple 0.7mm 100 m,"10,000","0,956","1,45"
1704092,Stieple 0.9mm 50 m,"4,000","0,7875","1,20"
1704276,Stieple PVC apvalkā 2 mm 30m,"15,000","1,0227","1,55"
1705204,Kokvilnas 8 str. aukla pīta 5mm 20m,"8,000","1,66","2,62"
1706028,Durvju slēdzene šlepera 50 mm,"19,000","6,5879","11,11"
1707708,Ota plakana jaukti sari 70mm 170770,"1,000","1,87","2,76"
170903,"Strīķis Laiviņa, pelēks Jobiprofi","38,000","0,2176","0,33"
17100014,AAJ 405WD2,"1,000","4,15","6,53"
171001,Terpentīns 1 L,"69,000","4,1086","8,00"
171002,"Terpentīns 0,5 L","27,000","1,6422","2,86"
171013,Degmaisījums Grils 1 L,"82,000","0,988","1,54"
171017,Līmes stienītis vid.,"687,000","0,0988","0,16"
171021,Lāpu eļļa 1 L,"3,000","2,2233","3,36"
1710215,Gludināmais dēlis Tina,"1,000","23,14","36,40"
171022,Miets,"1,000","2,69","3,97"
1710236,Instalācijas kārbas vāciņš,"359,000","0,2419","0,38"
171033,Lāpu eļļa Eres 1 L,"302,000","2,7994","4,51"
171036,Līmes stienītis liels,"1092,000","0,1971","0,31"
171039,Aizdedzināšanas klucīši 32,"290,000","0,6672","1,04"
171040,Lāpu eļļa Citromix 1 L,"47,000","2,8643","3,42"
17105000,Cimdi poliuretāna ar neilonu,"24,000","1,4846","2,52"
1711004,Inst.kārba vāciņš D70 R-57,"79,000","0,0725","0,11"
171102,Spainis 12l cinkots 171102,"85,000","2,2688","3,34"
171193,Spainis pienam 9 L,"32,000","2,3591","3,49"
1717085,Glud.dēļa polsterējums,"5,000","7,812","12,88"
172104,Restes čuguna Nr.5 260*220,"42,000","6,091","10,37"
1721043,Atkritumu kont. Clik 50 L marmors,"7,000","8,2057","13,20"
172106,Restes  250*250,"218,000","5,531","10,40"
1721111,Atkritumu kont. Clik 50 L C4045,"7,000","8,3929","13,20"
1721210,Atkritumu kont. Clik 50 L metālisks,"11,000","8,2918","13,20"
1721807,Atkritumu kont. Clik 50 L bēšs,"16,000","8,3219","13,20"
1722040,Atkritumu kont. Clik 15 L C4043,"1067,000","0,288","6,44"
1722118,Atkritumu kont. Clik 15 L C4043,"37,000","3,6327","6,45"
1722347,Atkritumu kont. Clik 15 L,"126,000","1,4353","6,45"
1722637,Atkritumu kont. Clik 15 L C4043,"51,000","3,8247","6,45"
1723239,Gludināmā dēļa audums,"0,000","0,00","11,21"
172380,Kaplis,"57,000","2,0632","3,24"
172382,Cepeškrāsns skārda 350*210*480,"1,000","15,09","22,25"
1724168,Smidzinātājs 600 ml,"1,000","1,03","1,57"
1724430,Lokšņu slīpēšanas disks 125*22.2 KLT2 P60,"9,000","0,8922","1,35"
1725547,Glud.dēlis Fashion M Plus,"0,000","0,00","37,86"
1730013,Vitac FL 850 lm,"31,000","6,3581","9,19"
1730020,Vitac FL 900 lm,"9,000","13,3144","20,94"
1730037,Vitac FL 1700 lm,"14,000","16,6421","26,18"
1730044,"VTAC FL,2550lm/3000K,30W(4730/4030)","7,000","24,9743","39,29"
1730051,Vitac FL 2700 lm,"6,000","33,305","52,39"
1730068,Vitac FL 4250 lm,"3,000","34,51","55,23"
1730090,Atkritumu kont. Clik 25 L zils,"26,000","4,6646","8,09"
1730129,"VTAC E27/A60,10551m/3000K,12W (1912)","34,000","6,7665","11,77"
1730137,Atkritumu kont. Clik 25 L,"42,000","4,859","8,08"
1730200,Maisītāja ventilis 1/2 ker,"7,000","1,5329","2,32"
1730267,Atkritumu kont. Clik 25 L metālisks,"14,000","5,12","8,08"
1730389,"VTAC FL,850ml/6000K,10W(4710)","16,000","6,1356","9,19"
1730396,"VTAC FL,1700lm/6000K,20W(4720/4020)","8,000","16,8438","26,69"
1730419,"VTAC FL-sens,1800lm/6000K,20w","16,000","23,0075","36,81"
1730426,"VTAC GU10,2201m/3000K/120"",3W (1838)","47,000","2,0332","3,00"
1730662,"VTAC GU10,420lm/3000K/50*,6.5W(1999)","31,000","3,7052","5,51"
1730793,Atkritumu kont. Clik 25 L bēšs,"42,000","4,7943","8,08"
1730860,VTAC FL-sens 900 lm/6000K 10W,"9,000","13,3156","20,94"
1730877,"VTAC GU10,320lm/3000K","14,000","7,5686","11,77"
1730884,VTAC G13/T8-600 850 lm,"0,000","0,00","9,15"
1731028,Atkritumu kont. Clik 9 L marmors,"45,000","2,4733","4,01"
1731066,Atkritumu kont. Clik 9 L pelēks,"14,000","2,1621","3,77"
1731219,Atkritumu kont. Clik 9 L metalisks,"28,000","2,5843","4,13"
1731769,Atkritumu kont. Clik 9 L bēšs,"28,000","2,5832","4,01"
1735598,Sizala aukla brūna 6mm 250 m,"820,000","0,1032","0,17"
1738013,Steinel iekšējā sensorlampa RS 16L balta,"3,000","32,2267","48,75"
1740030,Maisītāja snīpis 40 cm C,"4,000","7,7125","11,77"
1740041,Cillit tual.tīr.līdz. Meža svaigums 500 ml,"73,000","1,1952","1,81"
1740690,Cillit Bang Spray universāls tīr.līdz. 750 ml,"94,000","2,9237","5,17"
1742010,Dušas klausule Cobra,"2,000","1,48","2,26"
1744000,Diverters,"28,000","4,9696","8,08"
1745030,Dušas pievads rus/rus 1.5 m,"6,000","2,4433","3,70"
1747594,Galvas lukturis SL-3088,"1,000","3,21","4,85"
1747716,Piekariņš- Lazer 747716 3in1,"8,000","1,185","1,81"
1749717,Tapetes Rasch 10.05*0.53 m,"8,000","6,35","9,60"
1750070,Maisītāja ventilis 3/8 ker,"35,000","1,1726","1,78"
1750118,Air Wick Gaisa atsv. Flower 300 ml,"26,000","0,9981","1,37"
1750156,Air Wick Gaisa atsv. 300ML,"55,000","1,0791","1,71"
1750334,Pedāļspainis 14 L metāls,"7,000","18,0657","24,91"
1750922,Dūmvada līkums 110mm/90 grādi,"13,000","4,6792","7,97"
1750927,AW Crystal g/atsv. White Flower 77 g,"1,000","2,39","3,61"
1751508,Atkritumu kaste 36 L,"0,000","0,00","54,25"
1751596,Lūkas vāks 120*100,"53,000","1,8585","3,17"
1752020,Air Wick AntiTabac. apm.šķidrums 21 ml,"54,000","3,4422","5,83"
1752037,Air Wick Flower apm.šķidrums 21 ml,"26,000","3,40","5,83"
1752050,Maisītājs ZD004-7,"1,000","7,37","10,87"
1752345,Aizsargķivere Rockman C3/oranža,"4,000","4,2675","7,41"
1752718,Dūmvadu jumtiņš d-160,"0,000","0,00","8,52"
1754056,Elektrodi S-6013.LF 3 2/5,"113,000","1,9322","13,94"
1754329,Urbis betonam 12*310 mm,"1,000","4,17","6,30"
1756795,Dīb-nagla Lyt 6*40  75679,"240,000","0,3581","0,61"
1756832,Dīb-nagla Lyt 6*80 75683,"10,000","0,578","0,98"
1757356,Big koka kāts āmuram 36 cm,"9,000","0,3911","0,60"
1762003,"Tējkanna 1,7 L SN-5176","2,000","8,325","14,36"
17651040,Nagu birstīte,"38,000","0,5363","0,97"
1768082,Spogulis LAT 400x610mm,"0,000","0,00","13,20"
1770109,Hoga Ayhos mazgātnes maisītājs hroms,"10,000","16,719","25,50"
1770505,Hoga Ayhos virtuves maisītājs hroms,"50,000","14,9402","23,51"
1775348,Smaržīgā tējassvecītes 6 gab,"24,000","0,6229","0,94"
1777717,Duckling dzeltens 180*200,"1,000","7,23","10,93"
1779007,Švamme KWB 165*110*65,"15,000","1,384","2,35"
1781032,"Savienotājs 3/4"" plastm. Vertas R1153","32,000","0,8281","1,24"
1785690,Tapetes 36191 109917,"26,000","3,8415","5,83"
1790133,Augsne ģerānijai un baļļu puķ.,"11,000","1,6645","2,53"
179016,Dzīvžoga grieznes Hoby 510mm,"2,000","2,535","3,74"
179040,Vēdekļveida grābeklis regul.ar met.atsl.,"98,000","2,4009","3,61"
179074,Pulverizators 900 ml,"3,000","0,6633","0,98"
1790831,Mazgājama slota Italy 2 plakana,"1,000","6,37","9,39"
179084,"Mazgājamā slota ""Euro"" apaļa","3,000","6,3667","9,39"
1790861,Lāpsta V Combi bez kāta,"27,000","1,7026","2,69"
179106,Puķu pods diam. 250,"9,000","0,9956","1,47"
179109,"Puķu poda paliktnis diam, 135","8,000","0,1375","0,20"
179110,Puķu poda paliktnis diam. 158,"21,000","0,1605","0,24"
1791142,Hoga Carlon dušas maisītājs hroms,"0,000","0,00","37,19"
179116,Lejkanna  plastmasas 2 L,"2,000","2,19","3,23"
1791306,Flīžu krustiņi 3 mm 200 gab,"12,000","0,60","1,08"
1791745,SanoAntik Lndry 500ml ūdensakm.tīr.veļ. mazg. maš 100319,"49,000","1,8327","3,46"
1791752,Sano 1L Laundry soft. bio-ref veļas mīkstinātājs 100510,"3,000","1,3933","2,06"
179501,Lāpsta ar kātu,"3,000","4,8467","7,14"
1796230,Tapetes Rasch Seduction 0.53*10 m,"11,000","8,7582","13,37"
1796520,Tapetes Rasch Seduction,"8,000","9,0275","13,80"
179802,Čuguna durtiņas 285*175 /A6/ 179802,"25,000","8,0084","12,15"
179843,Čuguna reste 250*290 A9,"5,000","12,572","20,73"
179849,Čuguna reste 235*200 A11,"21,000","5,6838","9,75"
1799100,"HOGA Atlanta mazgātnes maisītājs, hroms","2,000","27,09","41,32"
1799506,HOGA Atlanta virtuves izlietnes maisītājs,"2,000","36,125","56,83"
18000025,Sifona sist. Click-Clack izlietnei,"0,000","0,00","13,69"
1800019,Panda tualetes papīrs 1*8r,"56,000","0,098","0,14"
1800484,Getwet aiz.st.alum.90-90 cm,"10,000","7,314","11,51"
1800514,Getwet aiz.st.alu 90-90/170-80,"13,000","9,6615","15,20"
1800569,Getwet aiz.st.balta 90-90,"6,000","7,3133","11,51"
1803729,Salvetes 33 cm 1-k 500,"1,000","4,58","6,76"
1804946,Plastmasas grābeklis 25 zari ar koka kātu 140 cm,"52,000","1,1638","1,98"
1806150,WC pods Ytc-5006 arm.hor.izv. DUO un vāks,"88,000","36,4968","58,12"
1809086,Šķiltavas Flame Club matēta,"197,000","0,2158","0,36"
1809222,Šķiltavas SQ-709,"42,000","0,2348","0,36"
1813007,Šķiltavas SK88,"90,000","0,155","0,24"
1813595,Gāze Flame Club 300 ml,"10,000","0,92","1,39"
1813601,Gāze Flame Club 300 ml,"12,000","1,1858","1,81"
1825305,Tapetes Rasch Aqua Deco,"10,000","8,21","12,52"
1831090,WC pievads podam gofr. A97,"1,000","4,59","6,94"
1831130,Manžete WC D50 balta,"0,000","0,00","0,60"
1831140,Manžete 100*100 melna,"2,000","1,67","2,52"
1832190,Cimdi Buck izm. XL,"506,000","0,00","0,87"
1832398,Papīrgrozs pelēksC04022/12,"97,000","1,1692","1,91"
1832403,Brilles Virtua caurspīdīgi stikli,"1,000","1,49","2,28"
1832480,Papīrgrozs melns CO4022/11,"50,000","0,7998","1,35"
1833320,WC ieplūdes vārsts 1/2 vert. A12,"112,000","3,051","4,65"
1833330,WC ieplūdes vārsts 3/8 vert. A12,"14,000","3,1721","4,84"
1833340,WC ieplūdes vārsts 1/2 hor. CH11,"114,000","2,917","4,45"
1833350,WC ieplūdes vārsts 3/8 hor. CH11,"12,000","3,4575","5,24"
