Nom.Kods,Nom.Nosaukums,Beigu daudzums,"Beigu vid. cena, EUR",Nom.PCAPVNE.Cena
0000800,"Primawelk 80, vēja izolācija melna/melna","1850,000","0,6126","0,95"
0000832,Margu balsts balts 75 mm,"15,000","1,4227","2,18"
0000854,Slīpšvamme profilētā a/o Combi P100,"345,000","0,3692","0,51"
0000861,Slīpšvamme profilētā a/o Radius P100,"196,000","0,3663","0,61"
0000878,Slīpšvamme profilētā a/o Rhomboid P100,"291,000","0,3592","0,51"
0000885,Slīpšvamme profilētā a/o Angle 45 P100,"334,000","0,3567","0,51"
0000923,Palielinājošais stikls 60 mm saliek.,"8,000","1,0275","1,62"
0000931,Aizbīdnis atslēgai 152 mm,"4,000","2,205","3,47"
0000948,Aizbīdnis atslēgai 254 mm,"4,000","2,675","4,21"
0001003,Balsinātājs ar līmi 3 kg p/e maiss,"322,000","0,9849","1,52"
0001004,Komplekts 5 L 6.7 kg,"3,000","19,21","30,22"
0001006,Piek.atslēgas kronšteins 178mm,"35,000","2,6609","4,18"
0001014,AW Stick Up gaisas atsv. Rose,"5,000","2,306","3,49"
0001047,Erismann tapetes 2237-3,"10,000","9,246","14,02"
0001051,Rokturis pelēks 180 mm,"66,000","0,5548","0,84"
0001060,Kabelis RG-6/0.8-32 TV/SAT AL32 RG66-DK,"380,000","0,0953","0,16"
0001079,Jacobs Cromat Gold šķīstošā 100 g,"65,000","2,5992","4,25"
0001100,Līmķelle zobaina nerūsējoša 13*58 cm 8*8,"1,000","6,33","9,33"
0001109,Tento ar zīmējumu  2ruļļi virt.dv. 7137 151973,"114,000","0,5308","0,83"
0001112,Eņģes 2 gb antīkas 75*49 mm,"30,000","0,7113","1,12"
0001151,Īsā vītne cinkota 20,"8,000","0,5338","0,81"
00011677,Stieple ar āķi B-375 mm,"0,000","0,00","0,14"
0001184,Ķerra dārza 78 L,"77,000","14,4239","22,32"
0001204,Klaviereņģe 31*6*1830 mm,"4,000","1,72","2,70"
0001207,Ķerra cinkota 90 L,"49,000","25,4459","39,29"
0001211,Klaviereņģe 31*6*1830 mm,"4,000","1,72","2,70"
0001214,"Ritenis 3,5-8 104mm ASS","7,000","6,3743","9,79"
0001216,Slīpdēlis ar rokturi/gumijas pamat.10mm 12*26cm 126,"18,000","2,6978","4,13"
0001221,Ritenis 4.00-8 104mm ASS,"46,000","6,9152","10,87"
0001235,Krampis 127 mm,"65,000","0,498","0,78"
0001252,Ķerra Profesionālā 120 L,"146,000","27,8185","38,43"
0001265,"Līmeņrādis Torpedo 9""","13,000","2,1562","5,35"
0001269,Ķerra divratu cinkota 78 L,"167,000","23,6662","32,90"
0001273,Eņģe 100*76 mm kreisā antīka,"8,000","1,3513","2,05"
0001276,Multif.kāpnes 3*4+platforma 6120A,"91,000","56,9037","77,76"
0001277,Tento De Luxe aroma zaļa 8r.t.pap 7137 151860,"11,000","1,4336","2,12"
0001313,"Lāpsta-liekšķere kok.k.24,5*29,5/110cm","56,000","3,6671","5,72"
0001320,"Lāpsta-asa met.k. 22,5*29,5/1","49,000","3,6188","5,72"
0001330,Neutral veļas mīkstinātājs 1 L,"4,000","2,2375","3,39"
0001337,Lāpsta-taisnā met.k. 19*30/110,"31,000","3,611","5,72"
0001351,"Lāpsta-asa kok.k. 23,5*31/140 cm","7,000","3,1771","4,68"
0001371,Līmeņrādis Spirit 1 mala slīpa 2 līmeņ. 40 cm,"5,000","4,924","8,24"
0001372,Atdure sfēriska antīka,"18,000","1,1528","1,75"
0001388,Līmeņrādis Spirit 1 mala slīpa 2 līmeņ. 60 cm,"11,000","6,4964","11,11"
0001395,Līmeņrādis Spirit 1 mala slīpa 2 līmeņ. 80 cm,"4,000","7,955","13,50"
0001401,Līmeņrādis Spirit 1 mala slīpa 2 līmeņ. 100 cm,"3,000","8,6067","13,80"
0001406,Vileda Slalom Universal sūklis 2 gb,"14,000","1,295","2,13"
0001412,"Ritenis fiksēts 8"" met/gult 000141","15,000","6,1133","9,42"
0001418,Līmeņrādis Spirit 1 mala slīpa 2 līmeņ. 120 cm,"7,000","11,6729","19,72"
0001427,Atkritumu m. 25L 50*60,"14,000","1,0743","1,58"
0001429,"Ritenis pagriežams 8"" met/gult 000142","18,000","6,5839","10,40"
0001434,Atkritumu maisi 35 L 55*68,"22,000","1,2509","2,02"
